
n = 1:
     sm2h(2) = -11.2520504 3
     sm2h(3) = -11.2520504 3
     sm2h(4) = -11.2520504 3

n = 21:
      ss1(1) =   5.4430356 3
      ss1(2) =   5.4430356 3
      ss2(1) =  -0.3975997 3
      ss2(2) =  -0.3975997 3
      ss3(1) =  -3.5474306 3
      ss3(2) =  -3.5474306 3
      ls1(1) =  -3.9040677 3
      ls1(2) =  -3.9040677 3
      ls2(1) =   7.3999952 3
      ls2(2) =   7.3999952 3
      ls3(1) =  -0.4150342 3
      ls3(2) =  -0.4150342 3
      sm1(1) =  10.8276698 3
      sm1(2) =  10.8276698 3
      sm1(3) =  10.8276698 3
      sm1(4) =  10.8276698 3
     sm2h(1) = -11.2520505 3
     sm2h(2) = -11.2520505 3
     sm2h(3) = -11.2520505 3
     sm2h(4) = -11.2520505 3

n = 22:
      ss1(1) =   5.4615325 3
      ss1(2) =   5.4615325 3
      ss2(1) =  -0.3960805 3
      ss2(2) =  -0.3960805 3
      ss3(1) =  -3.5828162 3
      ss3(2) =  -3.5828162 3
      ls1(1) =  -3.9072301 3
      ls1(2) =  -3.9072301 3
      ls2(1) =   7.4087607 3
      ls2(2) =   7.4087607 3
      ls3(1) =  -0.4353561 3
      ls3(2) =  -0.4353561 3
      sm1(1) =  10.8276699 3
      sm1(2) =  10.8276699 3
      sm1(3) =  10.8276699 3
      sm1(4) =  10.8276699 3
     sm2h(1) = -11.2520506 3
     sm2h(2) = -11.2520506 3
     sm2h(3) = -11.2520506 3
     sm2h(4) = -11.2520506 3

n = 23:
      ss1(1) =   5.4780963 3
      ss1(2) =   5.4780963 3
      ss2(1) =  -0.3945905 3
      ss2(2) =  -0.3945905 3
      ss3(1) =  -3.6147300 3
      ss3(2) =  -3.6147300 3
      ls1(1) =  -3.9097429 3
      ls1(2) =  -3.9097429 3
      ls2(1) =   7.4163010 3
      ls2(2) =   7.4163010 3
      ls3(1) =  -0.4536935 3
      ls3(2) =  -0.4536935 3
      sm1(1) =  10.8276699 3
      sm1(2) =  10.8276699 3
      sm1(3) =  10.8276699 3
      sm1(4) =  10.8276699 3
     sm2h(1) = -11.2520506 3
     sm2h(2) = -11.2520506 3
     sm2h(3) = -11.2520506 3
     sm2h(4) = -11.2520506 3

n = 24:
      ss1(1) =   5.4928934 3
      ss1(2) =   5.4928934 3
      ss2(1) =  -0.3931715 3
      ss2(2) =  -0.3931715 3
      ss3(1) =  -3.6433913 3
      ss3(2) =  -3.6433913 3
      ls1(1) =  -3.9117243 3
      ls1(2) =  -3.9117243 3
      ls2(1) =   7.4227884 3
      ls2(2) =   7.4227884 3
      ls3(1) =  -0.4701759 3
      ls3(2) =  -0.4701759 3
      sm1(1) =  10.8276699 3
      sm1(2) =  10.8276699 3
      sm1(3) =  10.8276699 3
      sm1(4) =  10.8276699 3
     sm2h(1) = -11.2520507 3
     sm2h(2) = -11.2520507 3
     sm2h(3) = -11.2520507 3
     sm2h(4) = -11.2520507 3

n = 25:
      ss1(1) =   5.5060825 3
      ss1(2) =   5.5060825 3
      ss2(1) =  -0.3918476 3
      ss2(2) =  -0.3918476 3
      ss3(1) =  -3.6690387 3
      ss3(2) =  -3.6690387 3
      ls1(1) =  -3.9132770 3
      ls1(2) =  -3.9132770 3
      ls2(1) =   7.4283726 3
      ls2(2) =   7.4283726 3
      ls3(1) =  -0.4849392 3
      ls3(2) =  -0.4849392 3
      sm1(1) =  10.8276700 3
      sm1(2) =  10.8276700 3
      sm1(3) =  10.8276700 3
      sm1(4) =  10.8276700 3
     sm2h(1) = -11.2520508 3
     sm2h(2) = -11.2520508 3
     sm2h(3) = -11.2520508 3
     sm2h(4) = -11.2520508 3

n = 26:
      ss1(1) =   5.5178142 3
      ss1(2) =   5.5178142 3
      ss2(1) =  -0.3906304 3
      ss2(2) =  -0.3906304 3
      ss3(1) =  -3.6919181 3
      ss3(2) =  -3.6919181 3
      ls1(1) =  -3.9144873 3
      ls1(2) =  -3.9144873 3
      ls2(1) =   7.4331828 3
      ls2(2) =   7.4331828 3
      ls3(1) =  -0.4981218 3
      ls3(2) =  -0.4981218 3
      sm1(1) =  10.8276700 3
      sm1(2) =  10.8276700 3
      sm1(3) =  10.8276700 3
      sm1(4) =  10.8276700 3
     sm2h(1) = -11.2520508 3
     sm2h(2) = -11.2520508 3
     sm2h(3) = -11.2520508 3
     sm2h(4) = -11.2520508 3

n = 27:
      ss1(1) =   5.5282301 3
      ss1(2) =   5.5282301 3
      ss2(1) =  -0.3895237 3
      ss2(2) =  -0.3895237 3
      ss3(1) =  -3.7122743 3
      ss3(2) =  -3.7122743 3
      ls1(1) =  -3.9154267 3
      ls1(2) =  -3.9154267 3
      ls2(1) =   7.4373300 3
      ls2(2) =   7.4373300 3
      ls3(1) =  -0.5098609 3
      ls3(2) =  -0.5098609 3
      sm1(1) =  10.8276700 3
      sm1(2) =  10.8276700 3
      sm1(3) =  10.8276700 3
      sm1(4) =  10.8276700 3
     sm2h(1) = -11.2520509 3
     sm2h(2) = -11.2520509 3
     sm2h(3) = -11.2520509 3
     sm2h(4) = -11.2520509 3

n = 28:
      ss1(1) =   5.5374622 3
      ss1(2) =   5.5374622 3
      ss2(1) =  -0.3885259 3
      ss2(2) =  -0.3885259 3
      ss3(1) =  -3.7303443 3
      ss3(2) =  -3.7303443 3
      ls1(1) =  -3.9161531 3
      ls1(2) =  -3.9161531 3
      ls2(1) =   7.4409091 3
      ls2(2) =   7.4409091 3
      ls3(1) =  -0.5202898 3
      ls3(2) =  -0.5202898 3
      sm1(1) =  10.8276700 3
      sm1(2) =  10.8276700 3
      sm1(3) =  10.8276700 3
      sm1(4) =  10.8276700 3
     sm2h(1) = -11.2520509 3
     sm2h(2) = -11.2520509 3
     sm2h(3) = -11.2520509 3
     sm2h(4) = -11.2520509 3

n = 29:
      ss1(1) =   5.5456327 3
      ss1(2) =   5.5456327 3
      ss2(1) =  -0.3876321 3
      ss2(2) =  -0.3876321 3
      ss3(1) =  -3.7463535 3
      ss3(2) =  -3.7463535 3
      ls1(1) =  -3.9167130 3
      ls1(2) =  -3.9167130 3
      ls2(1) =   7.4440011 3
      ls2(2) =   7.4440011 3
      ls3(1) =  -0.5295354 3
      ls3(2) =  -0.5295354 3
      sm1(1) =  10.8276700 3
      sm1(2) =  10.8276700 3
      sm1(3) =  10.8276700 3
      sm1(4) =  10.8276700 3
     sm2h(1) = -11.2520509 3
     sm2h(2) = -11.2520509 3
     sm2h(3) = -11.2520509 3
     sm2h(4) = -11.2520509 3

n = 30:
      ss1(1) =   5.5528540 3
      ss1(2) =   5.5528540 3
      ss2(1) =  -0.3868355 3
      ss2(2) =  -0.3868355 3
      ss3(1) =  -3.7605131 3
      ss3(2) =  -3.7605131 3
      ls1(1) =  -3.9171435 3
      ls1(2) =  -3.9171435 3
      ls2(1) =   7.4466750 3
      ls2(2) =   7.4466750 3
      ls3(1) =  -0.5377174 3
      ls3(2) =  -0.5377174 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520510 3
     sm2h(2) = -11.2520510 3
     sm2h(3) = -11.2520510 3
     sm2h(4) = -11.2520510 3

n = 31:
      ss1(1) =   5.5592288 3
      ss1(2) =   5.5592288 3
      ss2(1) =  -0.3861284 3
      ss2(2) =  -0.3861284 3
      ss3(1) =  -3.7730186 3
      ss3(2) =  -3.7730186 3
      ls1(1) =  -3.9174737 3
      ls1(2) =  -3.9174737 3
      ls2(1) =   7.4489897 3
      ls2(2) =   7.4489897 3
      ls3(1) =  -0.5449469 3
      ls3(2) =  -0.5449469 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520510 3
     sm2h(2) = -11.2520510 3
     sm2h(3) = -11.2520510 3
     sm2h(4) = -11.2520510 3

n = 32:
      ss1(1) =   5.5648502 3
      ss1(2) =   5.5648502 3
      ss2(1) =  -0.3855026 3
      ss2(2) =  -0.3855026 3
      ss3(1) =  -3.7840493 3
      ss3(2) =  -3.7840493 3
      ls1(1) =  -3.9177264 3
      ls1(2) =  -3.9177264 3
      ls2(1) =   7.4509956 3
      ls2(2) =   7.4509956 3
      ls3(1) =  -0.5513260 3
      ls3(2) =  -0.5513260 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520510 3
     sm2h(2) = -11.2520510 3
     sm2h(3) = -11.2520510 3
     sm2h(4) = -11.2520510 3

n = 33:
      ss1(1) =   5.5698027 3
      ss1(2) =   5.5698027 3
      ss2(1) =  -0.3849502 3
      ss2(2) =  -0.3849502 3
      ss3(1) =  -3.7937686 3
      ss3(2) =  -3.7937686 3
      ls1(1) =  -3.9179196 3
      ls1(2) =  -3.9179196 3
      ls2(1) =   7.4527353 3
      ls2(2) =   7.4527353 3
      ls3(1) =  -0.5569482 3
      ls3(2) =  -0.5569482 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520510 3
     sm2h(2) = -11.2520510 3
     sm2h(3) = -11.2520510 3
     sm2h(4) = -11.2520510 3

n = 34:
      ss1(1) =   5.5741622 3
      ss1(2) =   5.5741622 3
      ss2(1) =  -0.3844635 3
      ss2(2) =  -0.3844635 3
      ss3(1) =  -3.8023243 3
      ss3(2) =  -3.8023243 3
      ls1(1) =  -3.9180671 3
      ls1(2) =  -3.9180671 3
      ls2(1) =   7.4542456 3
      ls2(2) =   7.4542456 3
      ls3(1) =  -0.5618984 3
      ls3(2) =  -0.5618984 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520511 3
     sm2h(2) = -11.2520511 3
     sm2h(3) = -11.2520511 3
     sm2h(4) = -11.2520511 3

n = 35:
      ss1(1) =   5.5779968 3
      ss1(2) =   5.5779968 3
      ss2(1) =  -0.3840354 3
      ss2(2) =  -0.3840354 3
      ss3(1) =  -3.8098496 3
      ss3(2) =  -3.8098496 3
      ls1(1) =  -3.9181795 3
      ls1(2) =  -3.9181795 3
      ls2(1) =   7.4555579 3
      ls2(2) =   7.4555579 3
      ls3(1) =  -0.5662529 3
      ls3(2) =  -0.5662529 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520511 3
     sm2h(2) = -11.2520511 3
     sm2h(3) = -11.2520511 3
     sm2h(4) = -11.2520511 3

n = 36:
      ss1(1) =   5.5813675 3
      ss1(2) =   5.5813675 3
      ss2(1) =  -0.3836593 3
      ss2(2) =  -0.3836593 3
      ss3(1) =  -3.8164639 3
      ss3(2) =  -3.8164639 3
      ls1(1) =  -3.9182651 3
      ls1(2) =  -3.9182651 3
      ls2(1) =   7.4566988 3
      ls2(2) =   7.4566988 3
      ls3(1) =  -0.5700807 3
      ls3(2) =  -0.5700807 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520511 3
     sm2h(2) = -11.2520511 3
     sm2h(3) = -11.2520511 3
     sm2h(4) = -11.2520511 3

n = 37:
      ss1(1) =   5.5843286 3
      ss1(2) =   5.5843286 3
      ss2(1) =  -0.3833292 3
      ss2(2) =  -0.3833292 3
      ss3(1) =  -3.8222738 3
      ss3(2) =  -3.8222738 3
      ls1(1) =  -3.9183303 3
      ls1(2) =  -3.9183303 3
      ls2(1) =   7.4576915 3
      ls2(2) =   7.4576915 3
      ls3(1) =  -0.5734431 3
      ls3(2) =  -0.5734431 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520511 3
     sm2h(2) = -11.2520511 3
     sm2h(3) = -11.2520511 3
     sm2h(4) = -11.2520511 3

n = 38:
      ss1(1) =   5.5869286 3
      ss1(2) =   5.5869286 3
      ss2(1) =  -0.3830397 3
      ss2(2) =  -0.3830397 3
      ss3(1) =  -3.8273743 3
      ss3(2) =  -3.8273743 3
      ls1(1) =  -3.9183799 3
      ls1(2) =  -3.9183799 3
      ls2(1) =   7.4585558 3
      ls2(2) =   7.4585558 3
      ls3(1) =  -0.5763950 3
      ls3(2) =  -0.5763950 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520511 3
     sm2h(2) = -11.2520511 3
     sm2h(3) = -11.2520511 3
     sm2h(4) = -11.2520511 3

n = 39:
