
n = 1:
      sl3(9) =  -3.3179147 3
      sl3(10) =  -3.3179147 3
      sh1(1) =   2.7470992 3
      sh1(2) =   2.7470992 3
      sh1(3) =   2.7470992 3
      sh1(4) =   2.7470992 3
      sh1(5) =   2.7470992 3
      sh1(6) =   2.7470992 3
      sh1(7) =   2.7470992 3
      sh1(8) =   2.7470992 3
      sh1(9) =   2.7470992 3
      sh1(10) =   2.7470992 3
      sh3(1) =  -0.9481883 3
      sh3(2) =  -0.9481883 3
      sh3(3) =  -0.9481883 3
      sh3(4) =  -0.9481883 3
      sh3(5) =  -0.9481883 3
      sh3(6) =  -0.9481883 3
      sh3(7) =  -0.9481883 3
      sh3(8) =  -0.9481883 3
      sh3(9) =  -0.9481883 3
      sh3(10) =  -0.9481883 3
      sh4(1) =  -1.2570399 3
      sh4(2) =  -1.2570399 3
      sh4(3) =  -1.2570399 3
      sh4(4) =  -1.2570399 3
      sh4(5) =  -1.2570399 3
      sh4(6) =  -1.2570399 3
      sh4(7) =  -1.2570399 3
      sh4(8) =  -1.2570399 3
      sh4(9) =  -1.2570399 3
      sh4(10) =  -1.2570399 3
     sm1a(1) =  -2.3358720 3
     sm1a(2) =  -2.3358720 3
     sm1a(3) =  -2.3358720 3
     sm1a(4) =  -2.3358720 3
     sm1a(5) =  -2.3358720 3
     sm1a(6) =  -2.3358720 3
     sm1a(7) =  -2.3358720 3
     sm1a(8) =  -2.3358720 3
     sm1a(9) =  -2.3358720 3
     sm1a(10) =  -2.3358720 3
     sm1b(1) =  -2.6012264 3
     sm1b(2) =  -2.6012264 3
     sm1b(3) =  -2.6012264 3
     sm1b(4) =  -2.6012264 3
     sm1b(5) =  -2.6012264 3
     sm1b(6) =  -2.6012264 3
     sm1b(7) =  -2.6012264 3
     sm1b(8) =  -2.6012264 3
     sm1b(9) =  -2.6012264 3
     sm1b(10) =  -2.6012264 3
      sm2(1) =   3.5000000 3
      sm2(2) =   3.5000000 3
      sm2(3) =   3.5000000 3
      sm2(4) =   3.5000000 3
      sm2(5) =   3.5000000 3
      sm2(6) =   3.5000000 3
      sm2(7) =   3.5000000 3
      sm2(8) =   3.5000000 3
      sm2(9) =   3.5000000 3
      sm2(10) =   3.5000000 3
      sm3(1) =   0.1163199 3
      sm3(2) =   0.1163199 3
      sm3(3) =   0.1163199 3
      sm3(4) =   0.1163199 3
      sm3(5) =   0.1163199 3
      sm3(6) =   0.1163199 3
      sm3(7) =   0.1163199 3
      sm3(8) =   0.1163199 3
      sm3(9) =   0.1163199 3
      sm3(10) =   0.1163199 3
      sm3(11) =   0.1163199 3
      sm3(12) =   0.1163199 3
      sm3(13) =   0.1163199 3
      sm3(14) =   0.1163199 3
      sm3(15) =   0.1163199 3
      sm3(16) =   0.1163199 3
      sm3(17) =   0.1163199 3
      sm3(18) =   0.1163199 3
      sm3(19) =   0.1163199 3
      sm3(20) =   0.1163199 3
      sm3(1) =   0.8773850 4
      sm3(2) =   0.8773850 4
      sm3(3) =   0.8773850 4
      sm3(4) =   0.8773850 4
      sm3(5) =   0.8773850 4
      sm3(6) =   0.8773850 4
      sm3(7) =   0.8773850 4
      sm3(8) =   0.8773850 4
      sm3(9) =   0.8773850 4
      sm3(10) =   0.8773850 4
      sm3(11) =   0.8773850 4
      sm3(12) =   0.8773850 4
      sm3(13) =   0.8773850 4
      sm3(14) =   0.8773850 4
      sm3(15) =   0.8773850 4
      sm3(16) =   0.8773850 4
      sm3(17) =   0.8773850 4
      sm3(18) =   0.8773850 4
      sm3(19) =   0.8773850 4
      sm3(20) =   0.8773850 4
      sm3(1) = -244.2132063 5
      sm3(2) = -244.2132063 5
      sm3(3) = -244.2132063 5
      sm3(4) = -244.2132063 5
      sm3(5) = -244.2132063 5
      sm3(6) = -244.2132063 5
      sm3(7) = -244.2132063 5
      sm3(8) = -244.2132063 5
      sm3(9) = -244.2132063 5
      sm3(10) = -244.2132063 5
      sm3(11) = -244.2132063 5
      sm3(12) = -244.2132063 5
      sm3(13) = -244.2132063 5
      sm3(14) = -244.2132063 5
      sm3(15) = -244.2132063 5
      sm3(16) = -244.2132063 5
      sm3(17) = -244.2132063 5
      sm3(18) = -244.2132063 5
      sm3(19) = -244.2132063 5
      sm3(20) = -244.2132063 5

n = 5:
      sl1(1) =  -1.0835056 3
      sl1(2) =  -1.0835056 3
      sl1(3) =  -1.0835056 3
      sl1(4) =  -1.0835056 3
      sl1(5) =  -1.0835056 3
      sl1(6) =  -1.0835056 3
      sl1(7) =  -1.0835056 3
      sl1(8) =  -1.0835056 3
      sl1(9) =  -1.0835056 3
      sl1(10) =  -1.0835056 3
      sl2(1) =   3.2908477 3
      sl2(2) =   3.2908477 3
      sl2(3) =   3.2908477 3
      sl2(4) =   3.2908477 3
      sl2(5) =   3.2908477 3
      sl2(6) =   3.2908477 3
      sl2(7) =   3.2908477 3
      sl2(8) =   3.2908477 3
      sl2(9) =   3.2908477 3
      sl2(10) =   3.2908477 3
      sl3(1) =  -3.3133036 3
      sl3(2) =  -3.3133036 3
      sl3(3) =  -3.3133036 3
      sl3(4) =  -3.3133036 3
      sl3(5) =  -3.3133036 3
      sl3(6) =  -3.3133036 3
      sl3(7) =  -3.3133036 3
      sl3(8) =  -3.3133036 3
      sl3(9) =  -3.3133036 3
      sl3(10) =  -3.3133036 3
      sh1(1) =   2.7895486 3
      sh1(2) =   2.7895486 3
      sh1(3) =   2.7895486 3
      sh1(4) =   2.7895486 3
      sh1(5) =   2.7895486 3
      sh1(6) =   2.7895486 3
      sh1(7) =   2.7895486 3
      sh1(8) =   2.7895486 3
      sh1(9) =   2.7895486 3
      sh1(10) =   2.7895486 3
      sh3(1) =  -1.0435739 3
      sh3(2) =  -1.0435739 3
      sh3(3) =  -1.0435739 3
      sh3(4) =  -1.0435739 3
      sh3(5) =  -1.0435739 3
      sh3(6) =  -1.0435739 3
      sh3(7) =  -1.0435739 3
      sh3(8) =  -1.0435739 3
      sh3(9) =  -1.0435739 3
      sh3(10) =  -1.0435739 3
      sh4(1) =  -1.1866359 3
      sh4(2) =  -1.1866359 3
      sh4(3) =  -1.1866359 3
      sh4(4) =  -1.1866359 3
      sh4(5) =  -1.1866359 3
      sh4(6) =  -1.1866359 3
      sh4(7) =  -1.1866359 3
      sh4(8) =  -1.1866359 3
      sh4(9) =  -1.1866359 3
      sh4(10) =  -1.1866359 3
     sm1a(1) =  -2.3347938 3
     sm1a(2) =  -2.3347938 3
     sm1a(3) =  -2.3347938 3
     sm1a(4) =  -2.3347938 3
     sm1a(5) =  -2.3347938 3
     sm1a(6) =  -2.3347938 3
     sm1a(7) =  -2.3347938 3
     sm1a(8) =  -2.3347938 3
     sm1a(9) =  -2.3347938 3
     sm1a(10) =  -2.3347938 3
     sm1b(1) =  -2.6019771 3
     sm1b(2) =  -2.6019771 3
     sm1b(3) =  -2.6019771 3
     sm1b(4) =  -2.6019771 3
     sm1b(5) =  -2.6019771 3
     sm1b(6) =  -2.6019771 3
     sm1b(7) =  -2.6019771 3
     sm1b(8) =  -2.6019771 3
     sm1b(9) =  -2.6019771 3
     sm1b(10) =  -2.6019771 3
      sm2(1) =   3.5000000 3
      sm2(2) =   3.5000000 3
      sm2(3) =   3.5000000 3
      sm2(4) =   3.5000000 3
      sm2(5) =   3.5000000 3
      sm2(6) =   3.5000000 3
      sm2(7) =   3.5000000 3
      sm2(8) =   3.5000000 3
      sm2(9) =   3.5000000 3
      sm2(10) =   3.5000000 3
      sm3(1) =   0.1160452 3
      sm3(2) =   0.1160452 3
      sm3(3) =   0.1160452 3
      sm3(4) =   0.1160452 3
      sm3(5) =   0.1160452 3
      sm3(6) =   0.1160452 3
      sm3(7) =   0.1160452 3
      sm3(8) =   0.1160452 3
      sm3(9) =   0.1160452 3
      sm3(10) =   0.1160452 3
      sm3(11) =   0.1160452 3
      sm3(12) =   0.1160452 3
      sm3(13) =   0.1160452 3
      sm3(14) =   0.1160452 3
      sm3(15) =   0.1160452 3
      sm3(16) =   0.1160452 3
      sm3(17) =   0.1160452 3
      sm3(18) =   0.1160452 3
      sm3(19) =   0.1160452 3
      sm3(20) =   0.1160452 3
      sm3(1) =   0.7259511 4
      sm3(2) =   0.7259511 4
      sm3(3) =   0.7259511 4
      sm3(4) =   0.7259511 4
      sm3(5) =   0.7259511 4
      sm3(6) =   0.7259511 4
      sm3(7) =   0.7259511 4
      sm3(8) =   0.7259511 4
      sm3(9) =   0.7259511 4
      sm3(10) =   0.7259511 4
      sm3(11) =   0.7259511 4
      sm3(12) =   0.7259511 4
      sm3(13) =   0.7259511 4
      sm3(14) =   0.7259511 4
      sm3(15) =   0.7259511 4
      sm3(16) =   0.7259511 4
      sm3(17) =   0.7259511 4
