
n = 1:
      sm3(4) =  -1.8318881 4
      sm3(1) =  -3.1671594 5
      sm3(2) =  -3.1671594 5
      sm3(3) =  -3.1671594 5
      sm3(4) =  -3.1671594 5

n = 22:
      sl1(1) =  -1.5791697 3
      sl1(2) =  -1.5791697 3
      sl2(1) =   3.2150322 3
      sl2(2) =   3.2150322 3
      sl3(1) =  -2.8889353 3
      sl3(2) =  -2.8889353 3
      sh1(1) =   3.2744136 3
      sh1(2) =   3.2744136 3
      sh3(1) =  -1.3800606 3
      sh3(2) =  -1.3800606 3
      sh4(1) =  -1.1116196 3
      sh4(2) =  -1.1116196 3
     sm1a(1) =  -1.7233773 3
     sm1a(2) =  -1.7233773 3
     sm1b(1) =  -3.0325440 3
     sm1b(2) =  -3.0325440 3
      sm2(1) =   3.4944891 3
      sm2(2) =   3.4944891 3
      sm3(1) =  -0.0063672 3
      sm3(2) =  -0.0063672 3
      sm3(3) =  -0.0063672 3
      sm3(4) =  -0.0063672 3
      sm3(1) =  -1.6254150 4
      sm3(2) =  -1.6254150 4
      sm3(3) =  -1.6254150 4
      sm3(4) =  -1.6254150 4
      sm3(1) =  -1.9099127 5
      sm3(2) =  -1.9099127 5
      sm3(3) =  -1.9099127 5
      sm3(4) =  -1.9099127 5

n = 23:
      sl1(1) =  -1.1886724 3
      sl1(2) =  -1.1886724 3
      sl2(1) =   3.0879306 3
      sl2(2) =   3.0879306 3
      sl3(1) =  -3.0722547 3
      sl3(2) =  -3.0722547 3
      sh1(1) =   3.3420895 3
      sh1(2) =   3.3420895 3
      sh3(1) =  -1.3398878 3
      sh3(2) =  -1.3398878 3
      sh4(1) =  -1.2108767 3
      sh4(2) =  -1.2108767 3
     sm1a(1) =  -1.9767063 3
     sm1a(2) =  -1.9767063 3
     sm1b(1) =  -2.8488684 3
     sm1b(2) =  -2.8488684 3
      sm2(1) =   3.4961423 3
      sm2(2) =   3.4961423 3
      sm3(1) =   0.0377598 3
      sm3(2) =   0.0377598 3
      sm3(3) =   0.0377598 3
      sm3(4) =   0.0377598 3
      sm3(1) =  -1.1207446 4
      sm3(2) =  -1.1207446 4
      sm3(3) =  -1.1207446 4
      sm3(4) =  -1.1207446 4
      sm3(1) =  -2.1577287 5
      sm3(2) =  -2.1577287 5
      sm3(3) =  -2.1577287 5
      sm3(4) =  -2.1577287 5

n = 24:
      sl1(1) =  -1.1946871 3
      sl1(2) =  -1.1946871 3
      sl2(1) =   3.2115514 3
      sl2(2) =   3.2115514 3
      sl3(1) =  -2.9521599 3
      sl3(2) =  -2.9521599 3
      sh1(1) =   3.1286186 3
      sh1(2) =   3.1286186 3
      sh3(1) =  -1.1733769 3
      sh3(2) =  -1.1733769 3
      sh4(1) =  -1.4169395 3
      sh4(2) =  -1.4169395 3
     sm1a(1) =  -1.7186513 3
     sm1a(2) =  -1.7186513 3
     sm1b(1) =  -3.0442079 3
     sm1b(2) =  -3.0442079 3
      sm2(1) =   3.4972996 3
      sm2(2) =   3.4972996 3
      sm3(1) =  -0.0036099 3
      sm3(2) =  -0.0036099 3
      sm3(3) =  -0.0036099 3
      sm3(4) =  -0.0036099 3
      sm3(1) =  -0.7246239 4
      sm3(2) =  -0.7246239 4
      sm3(3) =  -0.7246239 4
      sm3(4) =  -0.7246239 4
      sm3(1) =  -2.2429547 5
      sm3(2) =  -2.2429547 5
      sm3(3) =  -2.2429547 5
      sm3(4) =  -2.2429547 5

n = 25:
      sl1(1) =  -1.3125555 3
      sl1(2) =  -1.3125555 3
      sl2(1) =   3.2980860 3
      sl2(2) =   3.2980860 3
      sl3(1) =  -3.0909825 3
      sl3(2) =  -3.0909825 3
      sh1(1) =   3.2400330 3
      sh1(2) =   3.2400330 3
      sh3(1) =  -1.3062442 3
      sh3(2) =  -1.3062442 3
      sh4(1) =  -1.2580599 3
      sh4(2) =  -1.2580599 3
     sm1a(1) =  -1.8863235 3
     sm1a(2) =  -1.8863235 3
     sm1b(1) =  -2.9218036 3
     sm1b(2) =  -2.9218036 3
      sm2(1) =   3.4981097 3
      sm2(2) =   3.4981097 3
      sm3(1) =   0.0252412 3
      sm3(2) =   0.0252412 3
      sm3(3) =   0.0252412 3
      sm3(4) =   0.0252412 3
      sm3(1) =  -0.5976115 4
      sm3(2) =  -0.5976115 4
      sm3(3) =  -0.5976115 4
      sm3(4) =  -0.5976115 4
      sm3(1) =  -2.2036640 5
      sm3(2) =  -2.2036640 5
      sm3(3) =  -2.2036640 5
      sm3(4) =  -2.2036640 5

n = 26:
      sl1(1) =  -1.2814320 3
      sl1(2) =  -1.2814320 3
